label,area,equivalent_diameter,mean_intensity-0,mean_intensity-1,mean_intensity-2,solidity
1,909.0,34.02021084832166,140.8041804180418,77.3916391639164,147.62266226622663,0.9763694951664876
2,426.0,23.28948359361322,95.71830985915493,92.65727699530517,163.8943661971831,0.9703872437357631
3,320.0,20.185060176161283,69.284375,48.8875,115.5125,0.9523809523809523
4,282.0,18.948708441878455,83.02482269503547,58.57801418439716,130.1595744680851,0.94
5,601.0,27.66255531193445,55.17304492512479,36.29950083194676,95.40931780366057,0.9693548387096774
6,602.0,27.685559519911603,114.7109634551495,71.44186046511628,133.95182724252493,0.9662921348314607
7,585.0,27.29185104880338,126.58119658119658,71.71282051282051,143.9247863247863,0.9733777038269551
8,631.0,28.34456125481373,120.41679873217116,61.8811410459588,132.78288431061807,0.9633587786259542
9,635.0,28.43425945768288,79.0740157480315,43.111811023622046,109.91653543307086,0.9679878048780488
10,341.0,20.83685880248485,79.60410557184751,52.30791788856305,121.22873900293256,0.9605633802816902
11,371.0,21.73411767467788,69.52021563342318,56.19407008086253,123.04312668463612,0.958656330749354
12,619.0,28.07374713484229,112.78190630048465,59.221324717285945,129.35541195476574,0.9656786271450858
13,212.0,16.42944866646031,83.46698113207547,58.471698113207545,128.23584905660377,0.9506726457399103
14,535.0,26.099485750361293,114.22990654205607,60.33457943925234,128.14205607476634,0.9744990892531876
15,672.0,29.25093116572581,133.23065476190476,67.37946428571429,137.97470238095238,0.9627507163323782
16,893.0,33.71947380147709,127.22284434490481,67.25531914893617,137.29115341545352,0.9727668845315904
17,785.0,31.614759885488656,106.73503184713375,51.98089171974522,115.07006369426752,0.9703337453646477
18,509.0,25.45739437315213,69.77799607072691,48.76620825147348,117.82318271119843,0.9640151515151515
19,882.0,33.511151553720346,202.23242630385488,147.23469387755102,205.17573696145124,0.9649890590809628
20,573.0,27.010484244701136,82.60907504363001,49.382198952879584,117.90575916230367,0.947107438016529
21,617.0,28.02835705319874,204.3484602917342,131.33711507293356,197.12803889789302,0.9686028257456829
22,708.0,30.024216853608277,139.3728813559322,70.66949152542372,141.6045197740113,0.9606512890094979
23,317.0,20.090219901261573,65.02208201892745,52.186119873817034,123.2429022082019,0.9577039274924471
24,1195.0,39.00668219624068,113.62259414225942,57.69958158995816,125.79665271966527,0.9676113360323887
25,401.0,22.595775212167435,78.67581047381546,57.19700748129676,123.84538653366583,0.9593301435406698
26,254.0,17.983404693292407,70.51181102362204,46.41732283464567,107.24803149606299,0.9621212121212122
27,424.0,23.23474912642073,84.29245283018868,46.8561320754717,105.01179245283019,0.9747126436781609
28,389.0,22.255115881567058,79.31619537275064,46.146529562982,114.19280205655527,0.948780487804878
29,904.0,33.92651689225682,146.4004424778761,101.41261061946902,177.43252212389382,0.9720430107526882
30,354.0,21.23032733700184,125.64971751412429,92.52542372881356,155.180790960452,0.9645776566757494
31,439.0,23.642169108157916,91.11845102505694,55.22323462414579,125.18906605922551,0.9585152838427947
32,764.0,31.18902069924069,111.54712041884817,56.88612565445026,125.68455497382199,0.9646464646464646
33,493.0,25.05408341078227,88.06896551724138,51.57809330628803,117.63488843813387,0.9426386233269598
34,326.0,20.37341629633241,65.77300613496932,39.38650306748466,102.61349693251533,0.9504373177842566
35,404.0,22.680140565547774,129.8861386138614,74.0940594059406,148.14851485148515,0.957345971563981
36,327.0,20.404639941160397,89.17737003058105,57.39755351681957,130.14678899082568,0.9674556213017751
37,377.0,21.909160375631842,73.42970822281167,47.39522546419098,116.27851458885942,0.952020202020202
38,470.0,24.462677409178383,95.18936170212766,63.41063829787234,132.5936170212766,0.9631147540983607
39,600.0,27.63953195770684,130.86333333333334,66.705,135.78666666666666,0.9630818619582665
40,428.0,23.34408972623798,105.9696261682243,52.64485981308411,115.91588785046729,0.9683257918552036
41,301.0,19.576646877473273,66.14950166112956,45.53156146179402,113.99335548172758,0.9525316455696202
42,676.0,29.33785834448333,119.53550295857988,57.05917159763314,120.34615384615384,0.9740634005763689
43,471.0,24.488687706168772,110.89384288747345,53.475583864118896,117.91082802547771,0.9691358024691358
44,453.0,24.016192740836935,103.28918322295806,55.36203090507726,121.21854304635761,0.9556962025316456
45,564.0,26.797520467958073,116.04787234042553,58.00709219858156,126.85106382978724,0.967409948542024
46,587.0,27.33846397952051,132.98637137989778,75.8160136286201,150.09710391822827,0.9591503267973857
47,234.0,17.26088217525478,86.73931623931624,47.61965811965812,109.21367521367522,0.9473684210526315
48,349.0,21.079862454783044,79.9025787965616,49.88538681948424,117.60458452722062,0.9381720430107527
49,484.0,24.824341676101277,100.84917355371901,89.3801652892562,157.48760330578511,0.9622266401590457
50,653.0,28.834448541840736,141.3813169984686,71.33843797856049,140.74425727411946,0.9659763313609467
51,418.0,23.06976657227589,108.18181818181819,91.99282296650718,154.52631578947367,0.9393258426966292
52,229.0,17.075475271404667,75.11353711790393,47.18777292576419,113.34934497816595,0.9423868312757202
53,515.0,25.60699837034026,75.14757281553398,47.302912621359226,106.1747572815534,0.9572490706319703
54,1192.0,38.95768906550174,123.36661073825503,62.74580536912752,129.8255033557047,0.9651821862348178
55,459.0,24.17471718621419,67.0239651416122,52.27450980392157,120.04139433551198,0.9483471074380165
56,637.0,28.479002615897535,142.91993720565148,83.89167974882261,158.74882260596547,0.969558599695586
57,245.0,17.66192765414112,56.38367346938775,39.42857142857143,100.88163265306123,0.9722222222222222
58,348.0,21.049640414216977,132.01724137931035,70.4367816091954,145.4655172413793,0.9560439560439561
59,266.0,18.403307281560924,89.97368421052632,50.16541353383459,116.71428571428571,0.9466192170818505
60,376.0,21.880083839428522,82.1436170212766,51.694148936170215,121.23670212765957,0.9353233830845771
61,704.0,29.93928254807644,119.97869318181819,68.33948863636364,140.65767045454547,0.9683631361760661
62,943.0,34.65061169280073,121.82290562036056,62.41145281018028,131.02651113467655,0.970164609053498
63,258.0,18.12445316531431,78.11627906976744,71.6046511627907,142.51937984496124,0.9555555555555556
64,482.0,24.77299861870477,79.02904564315352,63.27593360995851,130.64315352697096,0.964
65,584.0,27.26851470332286,78.34075342465754,44.4263698630137,109.2431506849315,0.9668874172185431
66,415.0,22.98683125324351,76.17590361445784,59.80963855421687,127.83132530120481,0.9606481481481481
67,336.0,20.683531783305643,84.33928571428571,47.29761904761905,111.18154761904762,0.9438202247191011
68,380.0,21.996159369293583,69.80526315789474,54.87105263157895,121.3,0.9595959595959596
69,352.0,21.17026971360491,70.98011363636364,72.8125,136.2215909090909,0.946236559139785
70,678.0,29.381225490616288,146.19911504424778,94.17846607669617,168.9513274336283,0.9671897289586305
71,600.0,27.63953195770684,103.22,52.125,117.07833333333333,0.9630818619582665
72,292.0,19.281751659604673,98.62328767123287,80.76027397260275,159.47602739726028,0.9636963696369637
73,305.0,19.706294962377495,79.82622950819672,49.71147540983606,119.91475409836066,0.941358024691358
74,316.0,20.0585068271871,69.1613924050633,43.05696202531646,110.68987341772151,0.9604863221884499
75,500.0,25.2313252202016,170.702,126.736,196.282,0.9615384615384616
76,594.0,27.500987065425246,149.72390572390572,91.28619528619528,168.25252525252526,0.954983922829582
77,190.0,15.553633450087505,86.16315789473684,46.257894736842104,110.84210526315789,0.9405940594059405
78,393.0,22.36924542940416,129.00763358778627,63.229007633587784,128.51908396946564,0.9751861042183623
79,328.0,20.435815879801165,74.71036585365853,45.21646341463415,112.0548780487805,0.956268221574344
80,612.0,27.914558950087667,61.751633986928105,46.0702614379085,102.70588235294117,0.9592476489028213
81,395.0,22.42609239636699,79.87341772151899,53.060759493670886,121.97974683544304,0.9634146341463414
82,293.0,19.314740138231286,64.75426621160409,44.01706484641638,106.29351535836177,0.9543973941368078
83,371.0,21.73411767467788,94.84366576819407,64.26684636118598,139.70619946091645,0.9661458333333334
84,357.0,21.320096563347295,80.8795518207283,48.35574229691877,113.31652661064426,0.9596774193548387
85,368.0,21.646065519224038,70.37771739130434,46.59239130434783,114.76902173913044,0.9460154241645244
86,244.0,17.625846048215095,71.59836065573771,68.00819672131148,138.39754098360655,0.9721115537848606
87,359.0,21.37973331358283,117.6016713091922,66.91643454038997,139.2116991643454,0.967654986522911
88,319.0,20.153496341094687,52.84952978056426,35.623824451410655,88.81504702194357,0.9494047619047619
89,582.0,27.221781995965376,207.5017182130584,172.5017182130584,222.6872852233677,0.9683860232945092
90,410.0,22.847936741452536,86.5439024390244,53.56585365853658,120.15365853658537,0.951276102088167
91,398.0,22.511093682995384,74.13316582914572,47.062814070351756,110.12311557788945,0.9567307692307693
92,452.0,23.98967015655475,186.49778761061947,117.73893805309734,178.57522123893804,0.9762419006479481
93,758.0,31.066309322306914,120.40501319261213,59.9155672823219,123.64248021108179,0.9619289340101523
94,342.0,20.867389014906145,80.73099415204679,76.80409356725146,145.59649122807016,0.9661016949152542
95,742.0,30.736683981742253,140.33288409703505,76.47574123989219,147.75606469002696,0.9686684073107049
96,365.0,21.557653718072718,80.21095890410959,45.19178082191781,111.56438356164384,0.9383033419023136
97,807.0,32.05470811910906,171.06567534076828,116.45848822800495,182.73977695167287,0.9722891566265061
98,823.0,32.37091511398834,72.75455650060753,55.88821385176185,113.35965978128797,0.9558652729384437
99,680.0,29.42452872043851,120.32794117647059,63.713235294117645,135.6014705882353,0.9728183118741058
100,437.0,23.58825303088947,98.72311212814645,50.411899313501145,113.01372997711671,0.9541484716157205
101,460.0,24.201036973199617,118.70869565217392,57.89782608695652,121.06086956521739,0.9623430962343096
102,269.0,18.5067943613625,126.04089219330855,86.77695167286245,157.9368029739777,0.9607142857142857
103,955.0,34.870385217575105,147.434554973822,84.28586387434555,155.1109947643979,0.9646464646464646
104,252.0,17.91246396432554,89.96428571428571,49.551587301587304,114.43650793650794,0.9509433962264151
105,384.0,22.111625566165472,67.0,48.684895833333336,115.30989583333333,0.9320388349514563
106,529.0,25.95272084319679,109.45368620037807,53.359168241965975,117.0,0.9796296296296296
107,267.0,18.437867513470433,93.70786516853933,54.95880149812734,114.61048689138576,0.9638989169675091
108,504.0,25.332049473868512,64.11309523809524,44.40079365079365,106.68253968253968,0.9385474860335196
109,362.0,21.468877828012552,74.23756906077348,46.469613259668506,110.4696132596685,0.9476439790575916
110,490.0,24.977737626138797,68.84081632653061,43.326530612244895,105.5734693877551,0.9722222222222222
111,393.0,22.36924542940416,101.06870229007633,59.30279898218829,131.6259541984733,0.9290780141843972
112,711.0,30.087760240780646,83.89310829817158,50.32770745428973,117.9563994374121,0.9595141700404858
113,482.0,24.77299861870477,138.79253112033194,76.38381742738589,148.81120331950208,0.964
114,465.0,24.33220886606579,92.0731182795699,60.064516129032256,129.7505376344086,0.9567901234567902
115,387.0,22.197831060995757,108.68733850129199,57.55555555555556,126.15245478036175,0.9462102689486552
116,343.0,20.897874625046462,85.24198250728863,67.2069970845481,140.33236151603498,0.9295392953929539
117,411.0,22.875783109789968,81.55717761557177,72.54744525547446,143.08515815085158,0.9362186788154897
118,308.0,19.802974013476614,87.80844155844156,54.98376623376623,125.33116883116882,0.9595015576323987
119,338.0,20.7449985808745,105.68343195266272,66.40236686390533,129.80769230769232,0.9388888888888889
120,404.0,22.680140565547774,92.68316831683168,52.93564356435643,121.18564356435644,0.9417249417249417
121,641.0,28.568278705151968,120.85023400936038,61.44305772230889,127.92979719188767,0.9697428139183056
122,502.0,25.281737508665255,141.29880478087648,78.17131474103586,151.76095617529882,0.9672447013487476
123,251.0,17.876888032555495,101.07171314741036,111.2191235059761,167.74501992031873,0.9330855018587361
124,470.0,24.462677409178383,119.13191489361702,57.95957446808511,125.69787234042553,0.9611451942740287
125,389.0,22.255115881567058,84.83033419023137,49.87403598971722,115.61696658097686,0.948780487804878
126,635.0,28.43425945768288,136.64094488188977,66.91653543307086,136.7212598425197,0.9709480122324159
127,349.0,21.079862454783044,88.79942693409743,50.902578796561606,111.56446991404012,0.9667590027700831
128,697.0,29.790064831759068,128.76901004304162,73.02725968436155,144.52223816355811,0.9775596072931276
129,275.0,18.712051592547777,97.75636363636363,55.29818181818182,117.95636363636363,0.9581881533101045
130,351.0,21.14017691983778,94.25356125356126,66.87749287749288,134.991452991453,0.9410187667560321
131,480.0,24.721548929484133,138.725,86.99375,162.11041666666668,0.9580838323353293
132,797.0,31.85548488335917,143.66624843161856,77.76913425345045,149.67001254705144,0.9637243047158404
133,356.0,21.290215544369623,75.38483146067416,48.14887640449438,107.51685393258427,0.9393139841688655
134,344.0,20.928315827817965,73.68604651162791,47.80813953488372,111.2063953488372,0.9476584022038568
135,598.0,27.59342761875783,105.68729096989966,53.46321070234114,117.56688963210702,0.9537480063795853
136,142.0,13.446189622059965,84.79577464788733,58.95774647887324,130.1056338028169,0.9403973509933775
137,377.0,21.909160375631842,76.85941644562334,44.38461538461539,110.55437665782493,0.940149625935162
138,953.0,34.833852588144914,128.16369359916055,73.96747114375655,145.75131164742916,0.9724489795918367
139,509.0,25.45739437315213,117.07269155206286,56.349705304518665,120.24361493123772,0.956766917293233
140,369.0,21.675455981530703,92.10027100271003,54.734417344173444,123.53387533875339,0.9510309278350515
141,857.0,33.032806266468405,131.47957992998832,66.05484247374562,131.585764294049,0.9480088495575221
142,501.0,25.25654394235911,91.05788423153693,67.22554890219561,134.96007984031937,0.9524714828897338
143,479.0,24.695783889727878,121.06054279749478,68.12317327766179,131.10647181628391,0.9637826961770624
144,497.0,25.15551736167189,115.2092555331992,60.42253521126761,130.51106639839034,0.9466666666666667
145,191.0,15.594510349620345,82.65968586387434,52.753926701570684,118.21465968586388,0.9455445544554455
146,672.0,29.25093116572581,151.68154761904762,80.10267857142857,152.7485119047619,0.9739130434782609
147,272.0,18.609705966725112,203.52941176470588,155.36029411764707,208.52573529411765,0.9679715302491103
148,959.0,34.943335894001606,167.02294056308654,114.05005213764338,174.18873826903024,0.9736040609137055
149,365.0,21.557653718072718,67.44657534246575,47.326027397260276,110.40821917808219,0.8859223300970874
150,646.0,28.679483013103898,139.9953560371517,88.50773993808049,162.45820433436532,0.9584569732937686
151,633.0,28.38944578214513,102.40916271721959,80.70300157977883,151.86887835703,0.9447761194029851
152,373.0,21.792621462004423,77.52815013404826,59.99195710455764,130.46112600536193,0.9187192118226601
153,254.0,17.983404693292407,77.36614173228347,54.874015748031496,129.3228346456693,0.951310861423221
154,491.0,25.003212122944625,82.25254582484725,46.164969450101836,110.9877800407332,0.9497098646034816
155,853.0,32.9556267071208,111.16881594372802,55.0,115.86049237983588,0.9638418079096045
156,502.0,25.281737508665255,115.63346613545816,56.788844621513945,120.16334661354581,0.9616858237547893
157,357.0,21.320096563347295,79.32773109243698,54.71708683473389,123.31932773109244,0.937007874015748
158,418.0,23.06976657227589,197.0622009569378,146.41387559808612,201.0909090909091,0.9631336405529954
159,372.0,21.76338922689847,73.66397849462365,44.63978494623656,108.0725806451613,0.9441624365482234
160,737.0,30.632948674096244,142.08412483039348,77.88059701492537,148.42605156037993,0.9697368421052631
161,411.0,22.875783109789968,63.722627737226276,45.91970802919708,108.91970802919708,0.9491916859122402
162,417.0,23.04215463350949,75.71942446043165,46.41486810551559,110.35251798561151,0.9413092550790068
163,756.0,31.025297674958463,211.82010582010582,181.4100529100529,225.8095238095238,0.9704749679075738
164,295.0,19.38054864282415,68.29152542372881,47.79661016949152,113.30169491525423,0.9305993690851735
165,195.0,15.756957549709801,110.31794871794872,93.58974358974359,171.02051282051283,0.9420289855072463
166,912.0,34.07630356711932,116.75,61.30263157894737,131.15679824561403,0.9681528662420382
167,460.0,24.201036973199617,139.43478260869566,81.34347826086956,156.30869565217392,0.9406952965235174
168,335.0,20.65272978291924,89.15223880597014,55.91044776119403,119.2179104477612,0.9463276836158192
169,679.0,29.40288507740653,119.34609720176731,59.512518409425624,127.95876288659794,0.9456824512534819
170,326.0,20.37341629633241,85.56748466257669,66.81901840490798,138.12576687116564,0.9340974212034384
171,365.0,21.557653718072718,99.06301369863014,76.66301369863014,140.46849315068494,0.9733333333333334
172,441.0,23.695962509005764,195.64172335600907,130.76643990929705,187.98866213151928,0.9671052631578947
173,1022.0,36.07285426355026,201.38649706457926,146.27592954990214,200.3972602739726,0.9761222540592168
174,243.0,17.58969042850512,97.09053497942386,52.24691358024691,122.6872427983539,0.9382239382239382
175,325.0,20.342144725641095,100.25538461538461,92.27076923076923,157.92615384615385,0.9285714285714286
176,624.0,28.18690255978371,96.34615384615384,59.93269230769231,130.54326923076923,0.96
177,712.0,30.10891156869401,85.49016853932584,41.50140449438202,103.09550561797752,0.9608636977058029
178,286.0,19.08262324195121,102.25874125874125,61.0,130.34265734265733,0.9662162162162162
179,431.0,23.42576026046658,108.60556844547564,66.43619489559164,131.57308584686774,0.9535398230088495
180,492.0,25.028660691489268,130.3089430894309,67.619918699187,136.369918699187,0.9666011787819253
181,343.0,20.897874625046462,204.53644314868805,99.63265306122449,165.55393586005832,0.9689265536723164
182,510.0,25.482389366284572,95.79803921568627,52.503921568627455,119.28823529411764,0.9323583180987203
183,225.0,16.925687506432688,88.74666666666667,54.92,120.89777777777778,0.9533898305084746
184,359.0,21.37973331358283,82.03064066852367,47.100278551532035,115.42339832869081,0.9650537634408602
185,358.0,21.349935761383176,80.49720670391062,53.46927374301676,125.86312849162012,0.9728260869565217
186,525.0,25.854414729132053,116.34095238095239,57.87238095238095,126.91047619047619,0.9615384615384616
187,588.0,27.361740666563517,85.53911564625851,40.256802721088434,98.01360544217687,0.9639344262295082
188,324.0,20.310825007719227,97.78395061728395,52.7037037037037,123.05246913580247,0.9473684210526315
189,587.0,27.33846397952051,116.40034071550255,55.86201022146508,120.14650766609881,0.9544715447154472
190,555.0,26.582850624566497,208.2864864864865,180.37657657657658,234.69009009009008,0.9719789842381786
191,421.0,23.152404806704283,93.28978622327791,55.496437054631826,122.95961995249407,0.9633867276887872
192,661.0,29.010538413996088,99.82904689863842,47.26626323751891,109.25113464447806,0.9677891654465594
193,767.0,31.25019569237719,130.38983050847457,68.40677966101696,138.17731421121252,0.9733502538071066
194,554.0,26.558891313141824,102.96028880866426,55.93321299638989,125.63176895306859,0.9634782608695652
195,325.0,20.342144725641095,99.16615384615385,48.49230769230769,110.81538461538462,0.9587020648967551
196,406.0,22.736210219877808,119.6871921182266,59.1871921182266,125.43596059113301,0.9333333333333333
197,1129.0,37.91421166272614,112.10540301151461,55.27723649247121,119.48627103631533,0.9592183517417162
198,352.0,21.17026971360491,189.7528409090909,94.48863636363636,166.0369318181818,0.9617486338797814
199,771.0,31.331576548121713,119.43579766536965,69.74837872892347,142.46044098573282,0.9506781750924784
200,677.0,29.35954992478095,123.41949778434268,62.729689807976364,133.81536189069425,0.9575671852899575
201,448.0,23.883285285767386,110.79464285714286,51.09375,112.44866071428571,0.9552238805970149
202,597.0,27.570346537664197,96.01340033500837,45.26465661641541,102.30150753768844,0.9723127035830619
203,290.0,19.21560480373171,193.6689655172414,148.3551724137931,221.33793103448275,0.9764309764309764
204,766.0,31.229817342839755,128.97911227154046,63.992167101827675,130.80678851174935,0.9586983729662077
205,520.0,25.731003930322746,104.41730769230769,49.775,106.69615384615385,0.9576427255985267
206,276.0,18.746042631630413,96.82246376811594,65.98550724637681,125.59057971014492,0.9230769230769231
207,792.0,31.755404570407364,116.97853535353535,58.93055555555556,128.17424242424244,0.9439809296781884
208,1002.0,35.71814698195629,119.32934131736526,63.35429141716567,127.33932135728543,0.9634615384615385
209,280.0,18.881394877652593,178.33928571428572,122.61071428571428,199.96428571428572,0.9556313993174061
210,303.0,19.64157789116634,117.24752475247524,54.897689768976896,118.99339933993399,0.9588607594936709
211,680.0,29.42452872043851,112.34558823529412,68.29411764705883,143.18382352941177,0.9457579972183588
212,882.0,33.511151553720346,106.41496598639456,68.32086167800453,143.41609977324262,0.9443254817987152
213,225.0,16.925687506432688,83.89777777777778,49.733333333333334,115.45777777777778,0.9656652360515021
214,512.0,25.532305945691693,89.716796875,49.60546875,112.21875,0.973384030418251
215,498.0,25.180812005932435,121.48192771084338,71.80923694779116,146.57831325301206,0.9651162790697675
216,340.0,20.806283791440396,100.38823529411765,61.417647058823526,117.48823529411764,0.96045197740113
217,212.0,16.42944866646031,122.70754716981132,63.65094339622642,135.43867924528303,0.9506726457399103
218,320.0,20.185060176161283,100.521875,60.76875,129.659375,0.9329446064139941
219,516.0,25.631847476983474,103.29457364341086,66.67635658914729,144.5794573643411,0.9502762430939227
220,550.0,26.462837142006137,104.53818181818181,57.31636363636363,130.28,0.9598603839441536
221,216.0,16.583719174624104,90.64351851851852,71.27314814814815,132.0648148148148,0.968609865470852
222,396.0,22.45446191105733,116.65151515151516,54.56818181818182,120.01262626262626,0.9519230769230769
223,309.0,19.83509564693766,101.77669902912622,57.83818770226537,124.2200647249191,0.939209726443769
224,993.0,35.55737431141417,112.90231621349446,58.76233635448137,127.39577039274924,0.9744847890088322
225,381.0,22.025082668269306,117.20734908136482,56.351706036745405,120.80577427821522,0.9621212121212122
226,319.0,20.153496341094687,107.22884012539186,48.492163009404386,109.80564263322884,0.9273255813953488
